type,dish,region,state,city,sub-region,location,description,image_url,citations
General Cuisine,American chop suey,Northeast,Wyoming,[],"['New England', 'New England', 'New England', 'New England', 'New England', 'New England', 'New England', 'New England', 'New England', 'New England', 'New England', 'New England', 'New England', 'New England', 'New England', 'New England', 'New England', 'New England', 'New England', 'New England', 'New England', 'New England', 'New England', 'New England', 'New England', 'New England', 'New England', 'New England', 'New England', 'New England', 'New England', 'New England', 'New England', 'New England', 'New England', 'New England', 'New England', 'New England', 'New England', 'New England', 'New England', 'New England', 'New England', 'New England', 'New England', 'New England', 'New England', 'New England', 'New England', 'New England']",New England,"An American dish of elbow macaroni, ground beef, tomato sauce, seasonings, and sometimes grated cheese.[1]",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/American_Chop_Suey.jpg/250px-American_Chop_Suey.jpg,
General Cuisine,American goulash,Multiple,Wyoming,[],"['Midwestern United StatesandSouthern United States', 'Midwestern United StatesandSouthern United States', 'Midwestern United StatesandSouthern United States', 'Midwestern United StatesandSouthern United States', 'Midwestern United StatesandSouthern United States', 'Midwestern United StatesandSouthern United States', 'Midwestern United StatesandSouthern United States', 'Midwestern United StatesandSouthern United States', 'Midwestern United StatesandSouthern United States', 'Midwestern United StatesandSouthern United States', 'Midwestern United StatesandSouthern United States', 'Midwestern United StatesandSouthern United States', 'Midwestern United StatesandSouthern United States', 'Midwestern United StatesandSouthern United States', 'Midwestern United StatesandSouthern United States', 'Midwestern United StatesandSouthern United States', 'Midwestern United StatesandSouthern United States', 'Midwestern United StatesandSouthern United States', 'Midwestern United StatesandSouthern United States', 'Midwestern United StatesandSouthern United States', 'Midwestern United StatesandSouthern United States', 'Midwestern United StatesandSouthern United States', 'Midwestern United StatesandSouthern United States', 'Midwestern United StatesandSouthern United States', 'Midwestern United StatesandSouthern United States', 'Midwestern United StatesandSouthern United States', 'Midwestern United StatesandSouthern United States', 'Midwestern United StatesandSouthern United States', 'Midwestern United StatesandSouthern United States', 'Midwestern United StatesandSouthern United States', 'Midwestern United StatesandSouthern United States', 'Midwestern United StatesandSouthern United States', 'Midwestern United StatesandSouthern United States', 'Midwestern United StatesandSouthern United States', 'Midwestern United StatesandSouthern United States', 'Midwestern United StatesandSouthern United States', 'Midwestern United StatesandSouthern United States', 'Midwestern United StatesandSouthern United States', 'Midwestern United StatesandSouthern United States', 'Midwestern United StatesandSouthern United States', 'Midwestern United StatesandSouthern United States', 'Midwestern United StatesandSouthern United States', 'Midwestern United StatesandSouthern United States', 'Midwestern United StatesandSouthern United States', 'Midwestern United StatesandSouthern United States', 'Midwestern United StatesandSouthern United States', 'Midwestern United StatesandSouthern United States', 'Midwestern United StatesandSouthern United States', 'Midwestern United StatesandSouthern United States', 'Midwestern United StatesandSouthern United States']",Midwestern United StatesandSouthern United States,"A dish that is similar to American chop suey, consisting of pasta (such as macaroni or egg noodles), ground beef, tomatoes or tomato sauce, and seasonings. Some variations include cheese.[2]",https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Goulash_from_usa_salvaged.jpg/250px-Goulash_from_usa_salvaged.jpg,
General Cuisine,Arizona cheese crisp,Southwest,['Arizona'],[],[],Arizona,"An open-faced flour tortilla with grated cheese and sometimes additional ingredients on top, baked until both the tortilla and the cheese are crisp.[3]",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Arizona_Cheese_Crisp.jpg/250px-Arizona_Cheese_Crisp.jpg,
General Cuisine,Baked ziti,Northeast,Wyoming,['New York City'],"['New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City']",New York City,"A baked pasta casserole made of ziti, bechamel, ragù, and a cheese topping.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Baked_Ziti_%28cropped%29.jpg/250px-Baked_Ziti_%28cropped%29.jpg,
General Cuisine,Biscuits and gravy,South,Wyoming,[],"['Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States']",Southern United States,"Soft dough biscuits, generally split into halves and covered in eithersawmillorsausage gravy.[4]",https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/American_biscuits_and_gravy.jpg/250px-American_biscuits_and_gravy.jpg,
General Cuisine,Boiled peanuts,South,Wyoming,[],"['Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States', 'Southern United States']",Southern United States,Peanuts that have been boiled. Often made with peanuts grown in gardens and small patches throughout the South.,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Cajun_boiled_peanuts.jpg/250px-Cajun_boiled_peanuts.jpg,
General Cuisine,Borracho beans,Southwest,['Texas'],[],[],Texas,"Pinto beanscooked with beef, pork or bacon, and spices such as onions, garlic, andjalapeño peppers. ATex-Mexdish; the name means ""drunken beans"".[5][6]",https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Tacos-with-rice-and-borracho-beans.jpg/250px-Tacos-with-rice-and-borracho-beans.jpg,
General Cuisine,Boston baked beans,Northeast,['Massachusetts'],"['Boston, Massachusetts']",[],Massachusetts,"A variety ofbaked beans, typically sweetened withmolassesormaple syrupand flavored withsalt porkor bacon.[7]",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Boston_Baked_Beans_in_Concord%2C_Mass_2012-0193.jpg/250px-Boston_Baked_Beans_in_Concord%2C_Mass_2012-0193.jpg,
General Cuisine,Breakfast burrito,Southwest,['New Mexico'],[],[],New Mexico,"A flour tortilla filled with breakfast items such as eggs, bacon, sausage, potatoes, and cheese, served ""smothered"" (with chili sauce on top) or ""hand-held"".[8]",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/%E3%83%96%E3%83%AA%E3%83%BC%E3%83%88.jpg/250px-%E3%83%96%E3%83%AA%E3%83%BC%E3%83%88.jpg,
General Cuisine,Cactus fries,Southwest,['New Mexico'],[],[],New Mexico,Friedprickly pear cactus.,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Cactus_fries.jpg/250px-Cactus_fries.jpg,
